Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
1,30,0,0,0,0,0,0.0
2,30,2,2,0,0,0,140000.0
3,30,2,2,0,0,0,280000.0
4,30,2,2,0,0,0,420000.0
5,30,2,2,0,0,0,560000.0
6,30,2,2,0,0,0,700000.0
7,30,2,2,0,0,0,840000.0
8,30,2,2,0,0,0,980000.0
9,30,2,2,0,0,0,1120000.0
10,30,2,2,0,0,0,1260000.0
11,30,2,2,0,0,0,1400000.0
12,30,2,2,0,0,0,1540000.0
13,30,2,2,0,0,0,1680000.0
14,30,2,2,0,0,0,1820000.0
15,30,2,2,0,0,0,1960000.0
16,30,2,2,0,0,0,2100000.0
17,30,2,2,0,0,0,2240000.0
18,30,2,2,0,0,0,2380000.0
19,30,2,2,0,0,0,2520000.0
20,30,0,0,0,0,0,2520000.0
21,30,0,0,0,0,0,2520000.0
22,30,0,0,0,0,0,2520000.0
23,30,0,0,0,0,0,2520000.0
24,30,0,0,0,0,0,2520000.0
25,30,0,0,0,0,0,2520000.0
26,30,0,0,0,0,0,2520000.0
27,30,0,0,0,0,0,2520000.0
28,30,2,2,0,0,0,2660000.0
29,30,2,2,0,0,0,2800000.0
30,30,2,2,0,0,0,2940000.0
