Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
1,30,0,0,0,0,0,0.0
2,30,1,0,1,0,0,1300000.0
3,30,1,0,0,0,0,1300000.0
4,30,1,0,0,0,0,1300000.0
5,30,1,0,0,0,0,1300000.0
6,30,2,1,0,0,0,1370000.0
7,30,2,1,0,0,0,1440000.0
8,30,2,1,0,0,0,1510000.0
9,30,2,1,0,0,0,1580000.0
10,30,2,1,0,0,0,1650000.0
11,30,2,1,0,0,0,1720000.0
12,30,2,1,0,0,0,1790000.0
13,30,2,1,0,0,0,1860000.0
14,30,2,1,0,0,0,1930000.0
15,30,2,1,0,0,0,2000000.0
16,30,2,1,0,0,0,2070000.0
17,30,2,1,0,0,0,2140000.0
18,30,2,1,0,0,0,2210000.0
19,30,2,1,0,0,0,2280000.0
20,30,1,0,0,0,0,2280000.0
21,30,1,0,0,0,0,2280000.0
22,30,1,0,0,0,0,2280000.0
23,30,1,0,0,0,0,2280000.0
24,30,1,0,0,0,0,2280000.0
25,30,1,0,0,0,0,2280000.0
26,30,1,0,0,0,0,2280000.0
27,30,1,0,0,0,0,2280000.0
28,30,2,1,0,0,0,2350000.0
29,30,2,1,0,0,0,2420000.0
