Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
1,30,0,0,0,0,0,0.0
2,30,2,0,2,0,0,2600000.0
3,30,2,0,0,0,0,2600000.0
4,30,2,0,0,0,0,2600000.0
5,30,2,0,0,0,0,2600000.0
6,30,2,0,0,0,0,2600000.0
7,30,2,0,0,0,0,2600000.0
8,30,2,0,0,0,0,2600000.0
9,30,2,0,0,0,0,2600000.0
10,30,2,0,0,0,0,2600000.0
11,30,2,0,0,0,0,2600000.0
12,30,2,0,0,0,0,2600000.0
13,30,2,0,0,0,0,2600000.0
14,30,2,0,0,0,0,2600000.0
15,30,2,0,0,0,0,2600000.0
16,30,2,0,0,0,0,2600000.0
17,30,2,0,0,0,0,2600000.0
18,30,2,0,0,0,0,2600000.0
19,30,2,0,0,0,0,2600000.0
20,30,0,0,0,2,0,2600000.0
21,30,0,0,0,2,0,2600000.0
22,30,2,0,0,0,0,2600000.0
23,30,2,0,0,0,0,2600000.0
24,30,2,0,0,0,0,2600000.0
25,30,2,0,0,0,0,2600000.0
26,30,2,0,0,0,0,2600000.0
27,30,2,0,0,0,0,2600000.0
28,30,2,0,0,0,0,2600000.0
29,30,2,0,0,0,0,2600000.0
30,30,2,0,0,0,0,2600000.0
31,30,2,0,0,0,0,2600000.0
32,30,2,0,0,0,0,2600000.0
33,30,2,0,0,0,0,2600000.0
34,30,2,0,0,0,0,2600000.0
35,30,2,0,0,0,0,2600000.0
36,30,2,0,0,0,0,2600000.0
37,30,2,0,0,0,0,2600000.0
38,30,2,0,0,0,0,2600000.0
39,30,2,0,0,0,0,2600000.0
40,30,0,0,0,2,0,2600000.0
41,30,0,0,0,2,0,2600000.0
42,30,2,0,0,0,0,2600000.0
43,30,2,0,0,0,0,2600000.0
44,30,2,0,0,0,0,2600000.0
45,30,2,0,0,0,0,2600000.0
46,30,2,0,0,0,0,2600000.0
47,30,2,0,0,0,0,2600000.0
48,30,2,0,0,0,0,2600000.0
49,30,2,0,0,0,0,2600000.0
50,30,2,0,0,0,0,2600000.0
51,30,2,0,0,0,0,2600000.0
52,30,2,0,0,0,0,2600000.0
53,30,2,0,0,0,0,2600000.0
54,30,2,0,0,0,0,2600000.0
