Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
1,30,0,0,0,0,0,0.0
2,30,1,0,1,0,0,1342788.0
3,30,1,0,0,0,0,1342788.0
4,30,1,0,0,0,0,1342788.0
5,30,1,0,0,0,0,1342788.0
6,30,2,0,1,0,0,2630769.0
7,30,2,0,0,0,0,2630769.0
8,30,2,0,0,0,0,2630769.0
9,30,2,0,0,0,0,2630769.0
10,30,2,0,0,0,0,2630769.0
11,30,2,0,0,0,0,2630769.0
12,30,2,0,0,0,0,2630769.0
13,30,2,0,0,0,0,2630769.0
14,30,2,0,0,0,0,2630769.0
15,30,2,0,0,0,0,2630769.0
16,30,2,0,0,0,0,2630769.0
17,30,2,0,0,0,0,2630769.0
18,30,3,1,0,0,0,2700769.0
19,30,3,1,0,0,0,2770769.0
20,30,2,0,0,0,0,2770769.0
21,30,2,0,0,0,0,2770769.0
22,30,2,0,0,0,0,2770769.0
23,30,2,0,0,0,0,2770769.0
24,30,1,0,0,1,0,2770769.0
25,30,1,0,0,1,0,2770769.0
26,30,1,0,0,1,0,2770769.0
27,30,1,0,0,1,0,2770769.0
28,30,3,1,1,1,0,3827307.0
29,30,3,1,0,1,0,3897307.0
30,30,4,1,0,0,0,3967307.0
31,30,4,1,0,0,0,4037307.0
32,30,4,1,0,0,0,4107307.0
33,30,4,1,0,0,0,4177307.0
34,30,4,1,0,0,0,4247307.0
35,30,4,1,0,0,0,4317307.0
36,30,3,0,0,0,0,4317307.0
37,30,3,0,0,0,0,4317307.0
38,30,3,0,0,0,0,4317307.0
39,30,3,0,0,0,0,4317307.0
40,30,3,0,0,0,0,4317307.0
41,30,3,0,0,0,0,4317307.0
42,30,3,0,0,0,0,4317307.0
43,30,3,0,0,0,0,4317307.0
44,30,3,0,0,0,0,4317307.0
45,30,3,0,0,0,0,4317307.0
46,30,3,0,0,0,0,4317307.0
47,30,3,0,0,0,0,4317307.0
48,30,3,0,0,0,0,4317307.0
49,30,3,0,0,0,0,4317307.0
50,30,3,0,0,0,0,4317307.0
51,30,3,0,0,0,0,4317307.0
52,30,3,0,0,0,0,4317307.0
53,30,3,0,0,0,0,4317307.0
54,30,3,0,0,0,0,4317307.0
55,30,3,0,0,0,0,4317307.0
56,30,3,0,0,0,0,4317307.0
57,30,3,0,0,0,0,4317307.0
58,30,3,0,0,0,0,4317307.0
59,30,3,0,0,0,0,4317307.0
60,30,3,0,0,0,0,4317307.0
61,30,3,0,0,0,0,4317307.0
62,30,3,0,0,0,0,4317307.0
63,30,3,0,0,0,0,4317307.0
64,30,2,0,0,1,0,4317307.0
65,30,2,0,0,1,0,4317307.0
66,30,1,0,0,2,0,4317307.0
67,30,1,0,0,2,0,4317307.0
68,30,1,0,0,2,0,4317307.0
69,30,1,0,0,2,0,4317307.0
70,30,1,0,0,2,0,4317307.0
71,30,1,0,0,2,0,4317307.0
72,30,2,0,0,1,0,4317307.0
73,30,2,0,0,1,0,4317307.0
74,30,2,0,0,1,0,4317307.0
75,30,2,0,0,1,0,4317307.0
76,30,2,0,0,1,0,4317307.0
77,30,2,0,0,1,0,4317307.0
78,30,2,0,0,1,0,4317307.0
79,30,2,0,0,1,0,4317307.0
80,30,2,0,0,1,0,4317307.0
81,30,2,0,0,1,0,4317307.0
82,30,1,0,0,2,0,4317307.0
83,30,1,0,0,2,0,4317307.0
84,30,2,0,0,1,0,4317307.0
85,30,2,0,0,1,0,4317307.0
86,30,2,0,0,1,0,4317307.0
87,30,2,0,0,1,0,4317307.0
88,30,2,0,0,1,0,4317307.0
89,30,2,0,0,1,0,4317307.0
90,30,2,0,0,1,0,4317307.0
91,30,2,0,0,1,0,4317307.0
92,30,2,0,0,1,0,4317307.0
93,30,2,0,0,1,0,4317307.0
94,30,2,0,0,1,0,4317307.0
95,30,2,0,0,1,0,4317307.0
96,30,2,0,0,1,0,4317307.0
97,30,2,0,0,1,0,4317307.0
98,30,2,0,0,1,0,4317307.0
99,30,2,0,0,1,0,4317307.0
100,30,2,0,0,1,0,4317307.0
